coefficient_name,share,target,error,error_pct
coef_sr3p_ASC_tnc_shared_othdiscr,0.005181109582760202,0,0.005181109582760202,0.005181109582760202
coef_sr3p_ASC_tnc_single_othdiscr,0.010912425492893169,0,0.010912425492893169,0.010912425492893169
coef_sr3p_ASC_walk_othdiscr,0.007152682255845942,0.00896087360767123,-0.0018081913518252883,-0.20178739607233503
coef_walk_ASC_taxi_othdiscr,0.0011494252873563218,0,0.0011494252873563218,0.0011494252873563218
coef_walk_ASC_tnc_shared_othdiscr,0.0027409372236958445,0,0.0027409372236958445,0.0027409372236958445
coef_walk_ASC_tnc_single_othdiscr,0.003183023872679045,0,0.003183023872679045,0.003183023872679045
coef_walk_ASC_walk_othdiscr,0.9929266136162688,1,-0.007073386383731228,-0.007073386383731228
coef_walk_transit_ASC_sov_othdiscr,0,0.13341001241904163,-0.13341001241904163,-1
coef_walk_transit_ASC_sr2_othdiscr,0.01338432122370937,0,0.01338432122370937,0.01338432122370937
coef_walk_transit_ASC_sr3p_othdiscr,0.06692160611854685,0,0.06692160611854685,0.06692160611854685
coef_walk_transit_ASC_walk_othdiscr,0.04780114722753346,0,0.04780114722753346,0.04780114722753346
coef_walk_transit_ASC_walk_transit_othdiscr,0.8718929254302104,0.8665899875809584,0.005302937849251954,0.0061193158532270074
coef_bike_ASC_bike_othmaint,0.9902173913043478,0.9144132961046016,0.07580409519974618,0.08289916115904201
coef_bike_ASC_sov_othmaint,0,0.0405943462869319,-0.0405943462869319,-1
coef_bike_ASC_sr2_othmaint,0,0.00494838077110469,-0.00494838077110469,-1
coef_bike_ASC_sr3p_othmaint,0,0.01535556862146281,-0.01535556862146281,-1
coef_bike_ASC_walk_othmaint,0.009782608695652175,0.02468840821589896,-0.014905799520246786,-0.6037570097632976
coef_drive_transit_ASC_drive_transit_othmaint,1,0.3973876918593479,0.602612308140652,1.516434254219282
coef_drive_transit_ASC_sov_othmaint,0,0.20522461628130417,-0.20522461628130417,-1
coef_drive_transit_ASC_walk_transit_othmaint,0,0.3973876918593479,-0.3973876918593479,-1
coef_sov_ASC_sov_othmaint,0.9613786112519006,0.993429475572691,-0.032050864320790406,-0.0322628481526721
coef_sov_ASC_walk_othmaint,0.03862138874809934,0.00657052442730897,0.03205086432079037,4.877976587009989
coef_sr2_ASC_sov_othmaint,0.09684571919032973,0.07193189491401993,0.02491382427630981,0.3463529538056694
coef_sr2_ASC_sr2_othmaint,0.8155353694299406,0.9058688947606518,-0.09033352533071115,-0.09972030815185351
coef_sr2_ASC_sr3p_othmaint,0.056290680208854874,0,0.056290680208854874,0.056290680208854874
coef_sr2_ASC_taxi_othmaint,0.0033617051713039124,0,0.0033617051713039124,0.0033617051713039124
coef_sr2_ASC_tnc_shared_othmaint,0.009870538588083828,0,0.009870538588083828,0.009870538588083828
coef_sr2_ASC_tnc_single_othmaint,0.009226807810600101,0,0.009226807810600101,0.009226807810600101
coef_sr2_ASC_walk_othmaint,0.008869179600886918,0.02219921032532821,-0.013330030724441291,-0.6004731938249345
coef_sr3p_ASC_sov_othmaint,0.03084459277601335,0.01932516601594663,0.01151942676006672,0.5960842328889276
coef_sr3p_ASC_sr2_othmaint,0.050761694568552514,0.04875863105038105,0.0020030635181714634,0.0410812091115058
coef_sr3p_ASC_sr3p_othmaint,0.8877106098939549,0.917733027788083,-0.030022417894128073,-0.03271367269682775
coef_sr3p_ASC_taxi_othmaint,0.0030144802713032246,0,0.0030144802713032246,0.0030144802713032246
coef_sr3p_ASC_tnc_shared_othmaint,0.00985089088658018,0,0.00985089088658018,0.00985089088658018
coef_sr3p_ASC_tnc_single_othmaint,0.008881950799375572,0,0.008881950799375572,0.008881950799375572
