ZONE,FID,ContourEle,ElevationR,SHAPE_Leng,SHAPE_Area
893,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
894,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
895,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
896,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
897,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
898,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
899,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
900,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
901,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
902,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
903,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
904,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
905,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
906,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
906,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
907,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
907,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
908,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
909,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
910,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
910,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
911,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
911,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
912,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
912,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
913,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
914,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
915,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
916,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
916,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
917,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
918,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
919,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
919,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
920,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
920,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
921,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
922,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
923,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
924,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
925,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
926,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
927,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
928,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
929,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
930,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
931,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
932,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
933,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
933,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
933,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
934,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
934,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
935,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
936,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
936,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
937,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
937,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
938,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
939,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
940,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
941,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
941,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
942,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
942,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
943,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
944,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
945,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
946,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
947,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
948,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
949,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
950,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
951,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
952,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
953,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
954,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
955,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
956,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
957,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
958,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
959,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
960,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
961,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
962,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
963,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
964,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
965,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
966,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
967,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
967,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
968,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
969,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
970,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
971,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
972,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
973,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
974,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
975,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
976,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
977,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
978,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
979,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
980,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
981,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
