Index,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
58,30058,24.9,54.8,2.21,358.3,13.8,4.3,35.3,26.9,10.7,139,53.5,20.4,0,0,52.9,1.5,58870,0,16,0,3,BOX ELDER
59,30059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
60,30060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
61,30061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
62,30062,21.6,82.4,3.82,138.3,0.7,0.4,16.5,17.3,0.8,0.9,51,13.9,0,0,35.6,1.3,44190,0,0,0,3,BOX ELDER
63,30063,44.1,115.9,2.63,667.4,58.7,0,96.2,0,0,0,4.8,503.7,0,0,1.4,2.6,53099,0,0,0,3,BOX ELDER
64,30064,229.7,608.9,2.65,755.4,92.4,30.5,17.4,53.9,21.6,164,73.5,284.5,0,0,4.2,13.4,53099,79,27,41,3,BOX ELDER
65,30065,21.8,54.2,2.48,178.2,0,0,0,0,0,174.2,0,2.2,0,0,0.5,1.3,44190,0,0,1458,3,BOX ELDER
66,30066,271,766.5,2.83,80.4,18.9,16,0.3,1.5,1.7,4.2,0.1,21.8,0,0,0,15.8,44190,0,0,0,3,BOX ELDER
67,30067,133.4,315.8,2.37,207.9,0,0,0,0,0,0,4,119.8,0,0,76.3,7.8,39229,0,0,0,3,BOX ELDER
68,30068,210.5,626.6,2.98,50.8,1.5,0.8,3.9,1.7,0.6,1.9,4.2,21.9,0,0,1.9,12.3,40753,0,0,0,3,BOX ELDER
69,30069,225.6,677.3,3,170.6,36.1,50.7,6.5,1.7,2.4,2,3.5,52.5,0,0,1.9,13.2,39229,0,0,0,3,BOX ELDER
70,30070,417.6,1083.2,2.59,1179.8,14.2,7.3,40,4.8,1.9,160,644.9,153.6,0,0,128.7,24.4,39229,0,973,0,3,BOX ELDER
71,30071,588.5,1670.4,2.84,710.9,47.4,152.6,6.3,5.6,5.7,204.6,88,166.6,0,0,0,34.3,43542,563,0,0,3,BOX ELDER
72,30072,142,381,2.68,116.5,32.3,0,1.2,5.6,0,0,4.8,64.3,0,0,0,8.3,41635,0,0,0,3,BOX ELDER
73,30073,28.2,74.4,2.64,36.7,1.5,0.8,3.8,1.7,0.6,1.9,1,21.9,0,0,1.9,1.6,41635,0,0,0,3,BOX ELDER
74,30074,89.5,320.1,3.58,81.4,0,0,0,1.4,0,0,0,74.8,0,0,0,5.2,38344,0,0,0,3,BOX ELDER
75,30075,145.8,349,2.39,182.1,14,21,0.8,3.2,2.4,0.4,10.6,116.5,0,0,4.7,8.5,36294,0,0,0,3,BOX ELDER
76,30076,170.4,434.1,2.55,59.3,0,0,0,0,0.6,10.8,20,12.9,0,0,5.1,9.9,37447,0,0,0,3,BOX ELDER
77,30077,85.3,257.6,3.02,34.2,0,0,0.1,0.1,0.6,0.1,0,19.3,0,0,8.9,5,31244,0,0,0,3,BOX ELDER
78,30078,9.1,31.7,3.49,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,31101,0,0,0,3,BOX ELDER
79,30079,274.6,676.1,2.46,554.1,126.8,98,13,5.7,7.3,54.7,30.8,190.4,0,0,11.2,16,31101,381,0,0,3,BOX ELDER
80,30080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77906,0,0,0,3,BOX ELDER
81,30081,0,0,0,187.2,32.2,113.6,6.2,5.5,2.7,3.1,1.7,19.5,0,0,2.8,0,77906,0,0,0,3,BOX ELDER
82,30082,0,0,0,246.3,47.9,6.8,3.8,5.9,0.6,136,14.8,28.6,0,0,1.9,0,77906,0,0,0,3,BOX ELDER
83,30083,0,0,0,392,312.7,10.7,7.9,7.6,1.3,3.9,3.8,31.5,8.5,0,4.2,0,77906,0,0,0,3,BOX ELDER
84,30084,60.2,200.3,3.33,217.1,26.7,47.4,7.7,4.7,24.5,59.3,2.1,24.8,0,0,16.4,3.5,77906,0,0,0,3,BOX ELDER
85,30085,66.5,223.1,3.36,315.7,0.6,244.5,1.4,0.6,0.2,0.7,15.9,1,0,0,46.8,3.9,77906,0,0,0,3,BOX ELDER
86,30086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60413,0,0,0,3,BOX ELDER
87,30087,25.1,74.4,2.96,15.5,0.1,0.1,1.6,0.1,0.1,0.2,0.1,2.4,0,0,9.4,1.5,60413,0,0,0,3,BOX ELDER
88,30088,227.6,822.7,3.61,100.4,1.5,3.8,3.7,3,1.2,40.9,17.9,13.3,0,0,1.9,13.3,60413,546,0,0,3,BOX ELDER
89,30089,54.3,112,2.06,81.4,6,2.1,5.3,11.9,1.4,5.3,10.9,24.9,0,0,10.3,3.2,77906,0,0,0,3,BOX ELDER
90,30090,162.3,475.3,2.93,69.6,1.4,0.7,3.5,1.5,1.1,1.7,9.7,30.2,0,0,10.3,9.5,77906,0,0,0,3,BOX ELDER
91,30091,158.5,390.9,2.47,66.8,0.4,0.2,8.3,1.8,10.7,0.5,1.8,0.6,0,0,33.2,9.3,77906,0,0,0,3,BOX ELDER
92,30092,206.4,566,2.74,32.4,1.5,4.2,1.3,1.9,0.2,0.6,2.7,5.2,0,0,2.8,12,77906,0,0,0,3,BOX ELDER
93,30093,158.1,500.5,3.17,44.9,0.7,0.4,1.8,0.8,0.3,0.9,18,11.9,0,0,0.9,9.2,60413,0,0,0,3,BOX ELDER
94,30094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69043,0,0,0,3,BOX ELDER
95,30095,40.3,131.6,3.27,38.1,0,0,0,0,0.6,0,0,4.3,0,0,30.9,2.4,69043,0,0,0,3,BOX ELDER
96,30096,78,232.2,2.98,96,0,4,1.3,0,0,69.4,0,2.2,0,0,14.5,4.6,69043,462,0,0,3,BOX ELDER
97,30097,273.3,891.1,3.26,63.8,0.7,3.4,1.9,0.8,2.6,15.8,1.3,14.2,0,0,7,16,69043,0,0,0,3,BOX ELDER
98,30098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69043,0,0,0,3,BOX ELDER
99,30099,153.5,529.2,3.45,30.9,0.2,0.1,0.4,0.2,0.1,0.2,1.7,4.6,0,0,14.5,9,69043,0,0,0,3,BOX ELDER
100,30100,47.4,131.6,2.78,33.8,0.1,1,0.1,0.1,0,0.1,0,0.1,0,0,29.5,2.8,53211,0,0,0,3,BOX ELDER
101,30101,19.1,61,3.19,178.1,6.2,0.2,0.8,0.3,0.1,0.4,0.2,0.6,155.9,0,12.2,1.1,75963,0,0,0,3,BOX ELDER
102,30102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53211,0,0,0,3,BOX ELDER
103,30103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53211,0,0,0,3,BOX ELDER
104,30104,35.2,109.5,3.11,49.4,0,0,0,0,0,0,0,0,0,0,47.3,2.1,53211,0,0,0,3,BOX ELDER
105,30105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53211,0,0,0,3,BOX ELDER
106,30106,24,70.6,2.94,7,0,0,0,0,0,0,0,0,0,0,5.6,1.4,53211,0,0,0,3,BOX ELDER
107,30107,22,83.6,3.81,10.7,0,0,0,0,0,0,0,0,0,0,9.4,1.3,53211,0,0,0,3,BOX ELDER
108,30108,35,109.1,3.11,7.7,0,0,0,1.3,0,0,0,0,0,0,4.2,2,75963,0,0,0,3,BOX ELDER
109,30109,0,0,0,77.1,63.4,4.5,2.5,1.1,0.4,1.3,0.7,1.7,0,0,1.4,0,53211,0,0,0,3,BOX ELDER
110,30110,19.9,53.7,2.69,16.9,0.2,0.1,10.6,0.3,0.1,0.3,0.2,2.5,0,0,1.4,1.2,53211,0,0,0,3,BOX ELDER
111,30111,17,20.4,1.2,17.2,7,0.1,0.6,4.4,0.1,0.3,0.2,0.4,0,0,3.3,1,53211,0,0,0,3,BOX ELDER
112,30112,6.2,25.3,4.05,4.1,0,0,0,0,0,0,0,0,0,0,3.7,0.4,75963,0,0,0,3,BOX ELDER
113,30113,19.9,52.7,2.65,9.7,1,0,0,0,0,0,0,0,0,0,7.5,1.2,53211,0,0,0,3,BOX ELDER
