tazid,tothh,resacre,ciacre,totemp,cbd
649,0,0,0,0,0
650,8,4,697,3071,0
651,0,0,376,8089,0
652,0,0,116,274,0
653,1985,465,36,583,0
654,148,113,10,25,0
655,369,54,16,425,0
656,58,137,54,77,0
657,651,163,25,287,0
658,425,120,6,81,0
659,780,190,16,192,0
660,1389,221,31,558,0
661,536,105,5,91,0
662,985,107,86,2508,0
663,45,20,119,859,0
664,248,30,113,2216,0
665,512,172,6,63,0
666,916,212,15,208,0
667,1,6,62,31,0
668,105,22,6,98,0
669,159,34,31,404,0
670,72,21,153,1333,0
671,75,17,79,1111,0
672,90,19,23,341,0
673,33,8,21,239,0
674,86,24,21,206,0
675,0,0,692,1654,0
676,1,0,444,3034,0
677,0,0,966,630,0
678,1,0,160,671,0
679,0,0,264,187,0
680,4,307,0,0,0
681,0,0,418,3968,0
682,1,2,626,951,0
683,1,2,264,329,0
684,5,1,377,2443,0
685,1,0,599,3859,0
686,1,0,182,1016,0
687,0,0,411,2940,0
688,0,0,251,1311,0
689,1216,219,16,301,0
690,1082,188,10,171,0
691,555,138,4,67,0
692,373,126,16,171,0
693,657,200,38,392,0
694,684,178,25,344,0
695,675,164,14,207,0
696,298,120,10,76,0
697,135,29,24,337,0
698,0,0,105,428,0
699,0,0,0,0,0
700,0,0,632,6170,0
701,0,0,651,6485,0
702,0,0,657,7707,0
703,0,0,367,4665,0
704,0,0,275,2775,0
705,1,0,409,5739,0
706,946,221,36,590,0
707,1,0,199,1095,0
708,0,0,83,390,0
709,319,114,94,1018,0
710,0,0,127,1425,0
711,18,5,322,3427,0
712,0,0,75,326,0
713,1,8,167,99,0
714,306,46,23,428,0
715,251,63,39,495,0
716,29,6,81,1139,0
717,0,0,441,5580,0
718,1,0,252,4596,0
719,2,0,267,3328,0
720,0,0,136,7159,0
721,0,0,257,3033,0
722,1026,230,177,2250,0
723,286,67,1,28,0
724,664,166,219,3403,0
725,237,78,2,23,0
726,346,60,273,5286,0
727,1,0,312,3206,0
728,0,0,154,1092,0
729,0,0,52,359,0
730,1237,181,17,395,0
731,503,111,39,559,0
732,563,83,2,64,0
733,166,36,13,170,0
734,754,121,39,755,0
735,552,107,53,779,0
736,397,79,5,99,0
737,0,0,342,8414,0
738,122,28,103,1380,0
739,0,0,81,1584,0
740,779,127,263,4861,0
741,28,91,101,92,0
742,576,135,38,403,0
743,0,0,186,1937,0
744,0,0,355,1702,0
745,0,0,178,591,0
746,269,39,134,1893,0
747,0,0,251,331,0
748,279,114,63,600,0
749,486,124,19,282,0
750,348,117,75,743,0
751,713,234,86,805,0
752,1037,300,20,229,0
753,1593,237,84,1914,0
754,681,94,16,370,0
755,353,98,26,273,0
756,438,104,55,715,0
757,215,63,25,301,0
758,585,185,10,125,0
759,500,151,9,110,0
760,221,82,3,32,0
761,82,37,34,270,0
762,644,123,37,566,0
763,247,70,3,37,0
764,410,148,11,109,0
765,644,41,40,1666,0
766,307,73,25,300,0
767,60,5,90,2608,0
768,390,130,9,97,0
769,320,91,13,149,0
770,531,62,4,100,0
771,447,88,70,948,0
772,108,53,1,10,0
773,1390,139,21,499,0
774,1880,283,68,1250,0
775,1550,160,11,282,0
776,894,94,239,4410,0
777,392,78,181,2446,0
778,650,106,104,1490,0
779,302,119,60,631,0
780,367,150,9,93,0
781,472,123,11,159,0
782,351,100,8,117,0
783,925,226,10,168,0
784,523,164,5,54,0
785,411,134,19,212,0
786,400,110,27,315,0
787,746,159,32,439,0
788,866,141,30,584,0
789,360,81,68,1050,0
790,521,145,15,172,0
791,522,154,6,76,0
792,529,144,14,167,0
793,669,115,42,608,0
794,299,31,155,3464,0
795,271,53,1,26,0
796,366,104,53,460,0
797,302,78,2,29,0
798,174,34,130,1892,0
799,1239,313,67,728,0
800,1834,173,276,6164,0
801,499,127,18,172,0
802,2808,268,34,837,0
803,0,0,110,1257,0
804,12,3,110,1030,0
805,30,1,87,3430,0
806,2,6,54,45,0
807,210,203,313,1192,0
808,829,223,6,94,0
809,578,152,11,169,0
810,444,124,43,451,0
811,916,210,18,250,0
812,1627,418,59,730,0
813,238,102,68,550,0
814,200,57,3,31,0
815,463,84,9,172,0
816,674,204,24,282,0
817,312,87,4,59,0
818,274,108,7,54,0
819,288,159,45,229,0
820,505,148,35,348,0
821,433,120,14,151,0
822,1123,210,112,1533,0
823,899,112,15,351,0
824,0,0,96,2021,0
825,507,118,59,551,0
826,766,357,15,100,0
827,791,88,80,1474,0
828,238,144,5,23,0
829,1220,290,38,402,0
830,444,166,5,44,0
831,566,278,39,263,0
832,751,113,203,3813,0
833,1474,622,95,848,0
834,1121,287,13,199,0
835,1201,302,137,1908,0
836,830,185,41,555,0
837,1149,278,12,188,0
838,843,241,39,485,1
839,967,313,51,520,0
840,1049,286,33,362,0
841,600,249,25,172,1
842,128,77,65,296,1
843,314,85,34,390,1
844,713,18,3,281,1
845,218,23,16,422,1
846,279,19,16,660,1
847,0,0,56,410,1
848,234,15,12,457,1
849,292,3,24,3039,1
850,12,0,14,1456,0
851,29,14,0,3,0
852,0,0,14,2557,1
853,0,0,28,975,0
854,220,9,19,1214,1
855,69,1,12,1270,1
856,0,0,0,0,1
857,240,8,5,292,1
858,88,3,11,630,1
859,10,1,12,162,1
860,0,0,29,4381,1
861,1526,56,13,628,1
862,358,3,10,2795,1
863,147,0,13,6797,1
864,134,1,12,2124,1
865,42,0,13,1780,1
866,11,0,14,1305,1
867,69,1,13,1724,1
868,298,1,12,5513,1
869,9,0,14,3461,1
870,41,0,13,1604,1
871,28,0,13,2345,1
872,81,0,13,3904,1
873,113,0,13,3633,1
874,58,6,7,166,1
875,0,0,14,524,1
876,0,0,14,928,1
877,5,0,14,582,0
878,301,10,4,297,0
879,183,2,12,1712,0
880,319,4,9,1193,0
881,167,3,11,1172,0
882,124,6,8,249,1
883,170,5,9,534,0
884,63,2,12,612,0
885,92,15,59,577,0
886,94,9,72,1543,0
887,0,0,14,333,0
888,10,0,13,661,0
889,28,2,11,348,0
890,11,0,13,754,0
891,0,0,14,305,0
892,8,3,10,70,0
893,10,0,13,436,0
894,5,0,14,461,0
895,0,0,14,607,0
896,0,0,14,983,0
897,3,0,13,212,0
898,13,5,9,60,0
899,53,4,9,268,0
900,14,0,13,356,0
901,54,9,4,75,1
902,32,7,6,80,0
903,47,5,23,552,1
904,119,15,12,249,0
905,137,14,14,371,0
906,102,10,18,369,0
907,26,1,26,1171,0
908,21,3,25,447,0
909,0,0,14,666,0
910,8,0,13,398,0
911,18,1,13,519,0
912,318,3,10,1209,0
913,220,6,7,430,0
914,53,4,10,342,0
915,394,11,2,168,0
916,84,13,1,18,0
917,134,8,19,513,0
918,221,19,9,255,0
919,452,26,2,98,0
920,44,43,165,415,0
921,7,4,445,1937,0
922,127,12,33,806,0
923,0,0,484,521,0
924,252,3229,386,79,0
925,279,63,3,29,0
926,718,498,78,294,0
927,160,405,47,50,0
928,379,39,8,200,0
929,12,0,27,1481,0
930,175,45,28,276,0
931,61,15,27,305,0
932,210,34,37,586,0
933,455,72,24,290,0
934,385,42,19,341,0
935,502,50,8,163,0
936,0,0,45,1176,0
937,1154,62,22,814,0
938,412,35,11,246,0
939,146,28,28,322,0
940,279,52,6,74,0
941,260,63,22,199,0
942,144,3,42,3250,0
943,254,44,2,25,0
944,289,44,2,28,0
945,665,55,3,65,0
946,512,46,12,253,0
947,563,29,30,976,0
948,568,58,4,80,1
949,46,143,36,29,0
950,383,144,52,361,1
951,692,32,27,1114,0
952,461,53,11,186,0
953,385,44,17,314,0
954,117,1,12,1183,0
955,219,5,23,1385,0
956,251,5,9,771,0
957,377,18,9,352,0
958,270,6,7,671,0
959,173,7,21,1100,0
960,387,10,3,365,0
961,529,16,12,955,0
962,1165,64,22,777,0
963,555,32,10,334,0
964,500,21,21,1046,0
965,404,17,39,1607,0
966,383,37,6,126,0
967,497,52,4,80,0
968,361,25,18,511,0
969,0,0,390,19771,0
970,869,77,371,10816,0
971,320,47,573,10263,0
972,128,6,8,447,0
973,4,0,28,1244,0
974,145,8,5,217,0
975,143,7,21,992,0
976,362,36,6,126,0
977,254,26,2,46,0
978,459,52,5,99,0
979,139,10,31,858,0
980,508,28,14,549,0
981,774,58,27,719,0
982,422,53,34,513,0
983,691,47,2,82,0
984,498,41,2,69,0
985,398,60,24,341,0
986,457,100,46,418,0
987,0,0,141,4154,0
988,616,59,9,231,0
989,105,20,29,392,0
990,147,13,11,237,0
991,6,2,57,355,0
992,9,1,37,542,0
993,251,35,8,141,0
994,265,15,17,632,0
995,11,2,18,204,0
996,132,11,42,785,0
997,616,74,33,657,0
998,655,96,11,167,0
999,0,0,103,80,0
1000,712,90,17,292,0
1001,638,88,20,314,0
1002,229,49,16,202,0
1003,201,35,5,82,0
1004,319,85,3,33,0
1005,146,39,1,14,0
1006,204,46,1,20,0
1007,316,62,10,133,0
1008,507,108,8,110,0
1009,576,122,15,174,0
1010,284,179,163,595,0
1011,832,174,8,83,0
1012,481,138,44,364,0
1013,270,106,4,26,0
1014,138,53,3,19,0
1015,5,1,86,1148,0
1016,2,0,52,635,0
1017,430,37,16,490,0
1018,253,39,14,251,0
1019,78,6,46,1215,0
1020,557,57,49,1098,0
1021,690,101,5,89,0
1022,577,90,16,225,0
1023,596,91,16,233,0
1024,653,83,24,379,0
1025,619,83,24,393,0
1026,596,99,12,163,0
1027,497,84,22,311,0
1028,311,83,21,202,0
1029,376,93,14,147,0
1030,488,55,73,1508,0
1031,1,0,88,1266,0
1032,0,0,52,856,0
1033,5,0,30,526,0
1034,8,0,19,445,0
1035,241,33,42,714,0
1036,483,43,10,251,0
1037,109,5,48,2096,0
1038,213,19,21,588,0
1039,884,15,91,9551,0
1040,749,66,40,911,0
1041,582,81,25,381,0
1042,577,74,33,525,0
1043,490,64,17,267,0
1044,243,23,40,763,0
1045,222,11,14,546,0
1046,538,24,19,712,0
1047,509,71,34,545,0
1048,530,95,7,95,0
1049,501,102,5,65,0
1050,434,96,11,129,0
1051,509,75,31,481,0
1052,510,95,41,495,0
1053,730,57,33,1007,0
1054,391,13,27,1812,0
1055,327,77,3,32,0
1056,268,71,40,389,0
1057,8,0,36,2007,0
1058,0,0,6,122,0
1059,16,1,8,169,0
1060,0,0,19,586,0
1061,9,0,15,980,0
1062,86,11,41,886,0
1063,248,22,18,413,0
1064,70,27,14,113,0
1065,287,35,16,295,0
1066,293,49,2,55,0
1067,141,16,25,466,0
1068,277,43,5,72,0
1069,194,18,24,532,0
1070,451,21,20,1229,0
1071,121,3,24,2778,0
1072,208,31,8,115,0
1073,39,12,33,245,0
1074,1,0,36,1203,0
1075,0,0,162,274,0
1076,522,168,21,179,0
1077,658,346,104,570,0
1078,0,0,64,578,0
1079,0,0,36,468,0
1080,26,4,33,451,0
1081,195,17,20,706,0
1082,39,3,33,934,0
1083,0,0,58,524,0
1084,0,0,41,470,0
1085,0,0,42,588,0
1086,243,25,58,1308,0
1087,292,38,36,663,0
1088,404,72,4,46,0
1089,716,67,22,522,0
1090,586,97,6,99,0
1091,336,68,8,99,0
1092,1,49,0,0,0
1093,7,0,49,1165,0
1094,11,1,40,578,0
1095,73,14,29,343,0
1096,269,18,68,1768,0
1097,19,3,64,889,0
1098,41,3,65,2238,0
1099,280,26,74,1994,0
1100,638,47,65,2404,0
1101,442,51,24,536,0
1102,358,54,12,171,0
1103,191,40,2,28,0
1104,291,58,11,133,0
1105,1160,118,44,1141,0
1106,1073,144,27,507,0
1107,486,72,93,1614,0
1108,163,18,25,544,0
1109,847,68,9,292,0
1110,445,37,10,284,0
1111,623,68,13,300,0
1112,1009,72,91,2561,0
1113,739,83,39,790,0
1114,579,56,21,582,0
1115,273,42,57,921,0
1116,627,33,23,875,0
1117,4,0,69,1211,0
