tazid,tothh,resacre,ciacre,totemp,cbd
319,188,49.953701297,23.505849286,364,0
320,34,6.219049691,10.155076667,84,0
321,11,1.4898088600000001,12.701720258,384,0
322,178,8.059564971,8.297387978,1167,0
323,44,11.997922125,1.557343913,8,0
324,95,8.577372309,7.070435229,74,0
325,0,0,20.480109649,435,0
326,1,0.277011348,17.07188133,779,0
327,70,0.481201106,12.185439000999999,1110,0
328,39,6.688172569,5.295165498,477,0
329,169,6.44738935,13.397351946,921,0
330,1,0.099989588,11.966077605,866,0
331,0,0,2.765758215,2349,0
332,297,26.775932355,4.827384935,1466,0
333,101,11.280080945,7.3392119750000004,209,0
334,28,2.042711631,4.313789257,626,0
335,64,4.137639557,6.952418237,860,0
336,131,4.09547215,11.409254214999999,543,0
337,292,15.077299149,5.4790098480000005,301,0
338,287,46.004899518,0.535159328,66,0
339,668,61.43248578,7.580696379,223,0
340,380,39.199757469,8.528190619,425,0
341,159,30.910300422,0.482014762,413,0
342,535,83.577913326,0.794679044,209,0
343,753,99.649781864,3.2038119210000002,73,0
344,452,63.020233641,19.810304572,215,0
345,3,6.621510874,19.550480635,267,0
346,551,118.879513207,52.832102843,554,0
347,287,78.689737872,0,26,0
348,417,84.305875114,3.2130462619999998,115,0
349,173,42.30600202,14.164977253,26,0
350,19,3.987568944,25.763857914,1145,0
351,333,43.91944478,6.8340637189999995,304,0
352,71,10.238636607,16.815832982,741,0
353,135,16.552137913,9.111110104,296,0
354,573,60.373693588,7.937112366,377,0
355,592,82.264673425,4.590977828,113,0
356,412,56.364713727,0.895480842,47,0
357,442,70.870348859,2.635625128,116,0
358,362,52.559162653,6.430940732,376,0
359,426,79.065729335,1.505996431,225,0
360,217,59.246657364,4.732090806,93,0
361,610,123.921328088,0.913936171,286,0
362,246,86.804863996,0,36,0
363,56,13.662756889,37.750161397,428,0
364,14,7.764355664,116.531378615,5171,0
365,167,26.609889457,19.554556425,510,0
366,217,32.530518353,18.988869214,328,0
367,0,0,54.673018507,287,0
368,146,24.920392395,22.54728765,652,0
369,178,26.972060946,15.862370553,593,0
370,422,71.772648683,0.342737395,32,0
