model,tourType,variable,alternative,units,latentClass,value
modeChoice,Path,egressTime,ride_hail_pooled,util/min,othmaint,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,social,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,atwork,-0.076
modeChoice,Path,egressTime,ride_hail_transit,util/min,work,-0.054
modeChoice,Path,egressTime,ride_hail_transit,util/min,univ,-0.09
modeChoice,Path,egressTime,ride_hail_transit,util/min,school,-0.09
modeChoice,Path,egressTime,ride_hail_transit,util/min,escort,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,shopping,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,eatout,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,othmaint,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,social,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,atwork,-0.076
modeChoice,Path,egressTime,walk,util/min,work,
modeChoice,Path,egressTime,walk,util/min,univ,
modeChoice,Path,egressTime,walk,util/min,school,
modeChoice,Path,egressTime,walk,util/min,escort,
modeChoice,Path,egressTime,walk,util/min,shopping,
modeChoice,Path,egressTime,walk,util/min,eatout,
modeChoice,Path,egressTime,walk,util/min,othmaint,
modeChoice,Path,egressTime,walk,util/min,social,
modeChoice,Path,egressTime,walk,util/min,othdiscr,
modeChoice,Path,egressTime,walk,util/min,atwork,
modeChoice,Path,egressTime,walk_transit,util/min,work,-0.054
modeChoice,Path,egressTime,walk_transit,util/min,univ,-0.09
modeChoice,Path,egressTime,walk_transit,util/min,school,-0.09
modeChoice,Path,egressTime,walk_transit,util/min,escort,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,shopping,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,eatout,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,othmaint,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,social,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,atwork,-0.076
modeChoice,Path,originCloseToTransit,bike,util,work,
modeChoice,Path,originCloseToTransit,bike,util,univ,
modeChoice,Path,originCloseToTransit,bike,util,school,
modeChoice,Path,originCloseToTransit,bike,util,escort,
modeChoice,Path,originCloseToTransit,bike,util,shopping,
modeChoice,Path,originCloseToTransit,bike,util,eatout,
modeChoice,Path,originCloseToTransit,bike,util,othmaint,
modeChoice,Path,originCloseToTransit,bike,util,social,
modeChoice,Path,originCloseToTransit,bike,util,othdiscr,
modeChoice,Path,originCloseToTransit,bike,util,atwork,
modeChoice,Path,originCloseToTransit,bike_transit,util,work,-0.358
modeChoice,Path,originCloseToTransit,bike_transit,util,univ,-0.598
modeChoice,Path,originCloseToTransit,bike_transit,util,school,-0.598
modeChoice,Path,originCloseToTransit,bike_transit,util,escort,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,shopping,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,eatout,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,othmaint,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,social,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,othdiscr,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,atwork,-0.502
modeChoice,Path,originCloseToTransit,car,util,work,
modeChoice,Path,originCloseToTransit,car,util,univ,
modeChoice,Path,originCloseToTransit,car,util,school,
modeChoice,Path,originCloseToTransit,car,util,escort,
modeChoice,Path,originCloseToTransit,car,util,shopping,
modeChoice,Path,originCloseToTransit,car,util,eatout,
modeChoice,Path,originCloseToTransit,car,util,othmaint,
modeChoice,Path,originCloseToTransit,car,util,social,
modeChoice,Path,originCloseToTransit,car,util,othdiscr,
modeChoice,Path,originCloseToTransit,car,util,atwork,
modeChoice,Path,originCloseToTransit,drive_transit,util,work,
modeChoice,Path,originCloseToTransit,drive_transit,util,univ,
modeChoice,Path,originCloseToTransit,drive_transit,util,school,
modeChoice,Path,originCloseToTransit,drive_transit,util,escort,
modeChoice,Path,originCloseToTransit,drive_transit,util,shopping,
modeChoice,Path,originCloseToTransit,drive_transit,util,eatout,
modeChoice,Path,originCloseToTransit,drive_transit,util,othmaint,
modeChoice,Path,originCloseToTransit,drive_transit,util,social,
modeChoice,Path,originCloseToTransit,drive_transit,util,othdiscr,
modeChoice,Path,originCloseToTransit,drive_transit,util,atwork,
modeChoice,Path,originCloseToTransit,hov2,util,work,
modeChoice,Path,originCloseToTransit,hov2,util,univ,
modeChoice,Path,originCloseToTransit,hov2,util,school,
modeChoice,Path,originCloseToTransit,hov2,util,escort,
modeChoice,Path,originCloseToTransit,hov2,util,shopping,
modeChoice,Path,originCloseToTransit,hov2,util,eatout,
modeChoice,Path,originCloseToTransit,hov2,util,othmaint,
modeChoice,Path,originCloseToTransit,hov2,util,social,
modeChoice,Path,originCloseToTransit,hov2,util,othdiscr,
