TAZID,CO_FIPS,xcoord,ycoord
1481,35,-112.028272388703,40.5790193743333
1455,35,-112.027991710013,40.6019643914502
1424,35,-112.036918494893,40.6178219982545
1423,35,-112.014301283949,40.6274887652811
1429,35,-111.99542081961,40.6237316434146
938,35,-111.982390884879,40.6451425307602
1430,35,-111.986308003635,40.6307220598376
1431,35,-111.979808935719,40.631355908197
1432,35,-111.981032430134,40.6159503259402
1433,35,-111.971860959429,40.6313369457934
1436,35,-111.971837952874,40.6167548924373
1434,35,-111.96258032593,40.6313009506254
1437,35,-111.962591252241,40.6167629239844
1442,35,-111.926786384875,40.6372960245369
1443,35,-111.925176465868,40.6269267986466
1445,35,-111.924957150364,40.6165625277421
1446,35,-111.917404816997,40.6338087886471
1448,35,-111.907191461883,40.6317509546772
931,35,-111.915834200869,40.6426447895236
1451,35,-111.916234834302,40.6136596570988
1452,35,-111.915127206425,40.6036787609237
1449,35,-111.914988351483,40.6249387499457
1453,35,-111.906514122239,40.6244276614284
1454,35,-111.908372100325,40.6155837637388
1428,35,-112.00319310669,40.6167664585259
1456,35,-112.014519472446,40.6038499845046
1486,35,-112.000486362877,40.585609318038
1458,35,-112.000524724835,40.5948371915196
1460,35,-111.983182462633,40.5992998271334
1459,35,-111.992204895095,40.6000784395562
1462,35,-111.981208167413,40.5900470680093
1466,35,-111.97049361982,40.5920703692529
1464,35,-111.962753709617,40.6034236895593
1438,35,-111.953038876382,40.6167661875388
1468,35,-111.953225054335,40.6048291876182
1471,35,-111.943246800931,40.5984689312776
1469,35,-111.94380823448,40.6061126437016
1474,35,-111.93448424734,40.6074680294213
1476,35,-111.924428527414,40.6015906776544
1473,35,-111.943498503032,40.5908774690458
1477,35,-111.933855756794,40.5909857209905
1475,35,-111.933838030576,40.5998831581802
1478,35,-111.920387103911,40.5917510383692
1483,35,-112.010215064553,40.5848170750464
1484,35,-112.009248853603,40.5763596872522
1457,35,-112.01329999255,40.5933522130925
1487,35,-111.993346107313,40.5833491746901
1489,35,-111.996276924355,40.5765148629781
1485,35,-112.017132898501,40.5695205588936
1491,35,-111.995092982142,40.5694970810566
1496,35,-111.972249850681,40.5767423164503
1490,35,-111.981803392562,40.5768066225322
1488,35,-111.981716182107,40.5840541364993
1494,35,-111.969143039428,40.5843556280734
1497,35,-111.962543740776,40.5767752047739
1502,35,-111.953012955852,40.5770962450525
1495,35,-111.962538590742,40.5840148221158
1467,35,-111.962305949107,40.5925879408847
1480,35,-111.907010844526,40.5928386020494
1513,35,-111.909570978873,40.5840552132723
1509,35,-111.922524830888,40.5843258286213
1514,35,-111.912064572705,40.5774461779384
1519,35,-112.028787437925,40.5555398601305
1518,35,-112.016470922982,40.5627794262512
1517,35,-112.028787626046,40.5620083953686
1520,35,-112.022677991824,40.557255817726
1521,35,-112.026422582416,40.5517933246129
1522,35,-112.022738328226,40.5480687004693
1523,35,-112.019037459462,40.544386084136
1524,35,-112.016636192306,40.5416777098252
1525,35,-112.01879055098,40.5560100612801
1526,35,-112.009942504252,40.5605016467132
1527,35,-112.018351309042,40.5505309584888
1528,35,-112.013830137262,40.5532484470248
1529,35,-112.00833208363,40.5568513076629
1530,35,-112.013649057312,40.5456097046636
1531,35,-112.009028323552,40.5482533147166
1532,35,-111.998276248529,40.5633811654096
1533,35,-112.002298694897,40.5589632731719
1534,35,-112.00190568423,40.5515583330551
1492,35,-111.981817618241,40.5696839717306
1498,35,-111.972295033729,40.5676958980077
1536,35,-111.985521257733,40.5640645443398
1537,35,-111.983663033072,40.5592460020517
1539,35,-112.012508484713,40.5398851369
1541,35,-112.003578268857,40.5397390902594
1540,35,-112.005030900479,40.5441496324227
1535,35,-111.992683266819,40.5529059235562
1542,35,-111.995773856931,40.5426120394847
1538,35,-111.983142390535,40.5519304982311
1543,35,-111.988063604543,40.5402887573057
1547,35,-111.98058231256,40.5405627246498
1548,35,-111.972713144369,40.5409315888657
1545,35,-111.974138656594,40.5494857748536
1546,35,-111.962369180168,40.5534446328785
1549,35,-111.96342580311,40.5402377581205
1554,35,-111.931829275108,40.551010961784
