taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor
125,Residential,Block,NoCharger,1000000,0,Any
125,Workplace,Block,NoCharger,1000000,0,Any
126,Public,Block,NoCharger,1000000,0,Any
126,Residential,Block,NoCharger,1000000,0,Any
126,Workplace,Block,NoCharger,1000000,0,Any
127,Public,Block,NoCharger,1000000,0,Any
127,Residential,Block,NoCharger,1000000,0,Any
127,Workplace,Block,NoCharger,1000000,0,Any
128,Public,Block,NoCharger,1000000,0,Any
128,Residential,Block,NoCharger,1000000,0,Any
128,Workplace,Block,NoCharger,1000000,0,Any
129,Public,Block,NoCharger,1000000,0,Any
129,Residential,Block,NoCharger,1000000,0,Any
129,Workplace,Block,NoCharger,1000000,0,Any
130,Public,Block,NoCharger,1000000,0,Any
130,Residential,Block,NoCharger,1000000,0,Any
130,Workplace,Block,NoCharger,1000000,0,Any
131,Public,Block,NoCharger,1000000,0,Any
131,Residential,Block,NoCharger,1000000,0,Any
131,Workplace,Block,NoCharger,1000000,0,Any
132,Public,Block,NoCharger,1000000,0,Any
132,Residential,Block,NoCharger,1000000,0,Any
132,Workplace,Block,NoCharger,1000000,0,Any
133,Public,Block,NoCharger,1000000,0,Any
133,Residential,Block,NoCharger,1000000,0,Any
133,Workplace,Block,NoCharger,1000000,0,Any
134,Public,Block,NoCharger,1000000,0,Any
134,Residential,Block,NoCharger,1000000,0,Any
134,Workplace,Block,NoCharger,1000000,0,Any
135,Public,Block,NoCharger,1000000,0,Any
135,Residential,Block,NoCharger,1000000,0,Any
135,Workplace,Block,NoCharger,1000000,0,Any
141,Public,Block,NoCharger,1000000,0,Any
141,Residential,Block,NoCharger,1000000,0,Any
141,Workplace,Block,NoCharger,1000000,0,Any
142,Public,Block,NoCharger,1000000,0,Any
142,Residential,Block,NoCharger,1000000,0,Any
142,Workplace,Block,NoCharger,1000000,0,Any
143,Public,Block,NoCharger,1000000,0,Any
143,Residential,Block,NoCharger,1000000,0,Any
143,Workplace,Block,NoCharger,1000000,0,Any
144,Public,Block,NoCharger,1000000,0,Any
144,Residential,Block,NoCharger,1000000,0,Any
144,Workplace,Block,NoCharger,1000000,0,Any
145,Public,Block,NoCharger,1000000,0,Any
145,Residential,Block,NoCharger,1000000,0,Any
145,Workplace,Block,NoCharger,1000000,0,Any
146,Public,Block,NoCharger,1000000,0,Any
146,Residential,Block,NoCharger,1000000,0,Any
146,Workplace,Block,NoCharger,1000000,0,Any
147,Public,Block,NoCharger,1000000,0,Any
147,Residential,Block,NoCharger,1000000,0,Any
147,Workplace,Block,NoCharger,1000000,0,Any
148,Public,Block,NoCharger,1000000,0,Any
148,Residential,Block,NoCharger,1000000,0,Any
