coefficient_name,value,constrain,value
tnc_single_ASC_auto_deficient_eatout_othdiscr_social,-4.9623,F,-2.9623
tnc_single_ASC_auto_deficient_escort_othmaint_shopping,-1.3252,F,0.6748
tnc_single_ASC_auto_deficient_school,-2.5524,F,-0.5524
tnc_single_ASC_auto_deficient_univ,-0.9779,F,1.0221
tnc_single_ASC_auto_deficient_work,-2.8013,F,-0.8013
tnc_single_ASC_auto_deficient_atwork,-5.7626,F,-3.7626
tnc_single_ASC_auto_sufficient_eatout_othdiscr_social,-4.3239,F,-2.3239
tnc_single_ASC_auto_sufficient_escort_othmaint_shopping,-3.45,F,-1.45
tnc_single_ASC_auto_sufficient_school,-4.8375,F,-2.8375
tnc_single_ASC_auto_sufficient_univ,-1.7912,F,0.2088
tnc_single_ASC_auto_sufficient_work,-6.1946,F,-4.1946
tnc_single_ASC_auto_sufficient_atwork,-4.7988,F,-2.7988
tnc_shared_ASC_no_auto_eatout_othdiscr_social,-1.3536,F,0.6464
tnc_shared_ASC_no_auto_escort_othmaint_shopping,-1.0639,F,0.9361
tnc_shared_ASC_no_auto_school,-7,T,-7
tnc_shared_ASC_no_auto_univ,-7.8116,F,-5.8116
tnc_shared_ASC_no_auto_work,1.2429,F,3.2429
tnc_shared_ASC_no_auto_atwork,1.3672,F,3.3672
tnc_shared_ASC_auto_deficient_eatout_othdiscr_social,-6.3576,F,-4.3576
tnc_shared_ASC_auto_deficient_escort_othmaint_shopping,-2.3863,F,-0.3863
tnc_shared_ASC_auto_deficient_school,-3.4746,F,-1.4746
tnc_shared_ASC_auto_deficient_univ,1.25,F,3.25
tnc_shared_ASC_auto_deficient_work,-4.1435,F,-2.1435
tnc_shared_ASC_auto_deficient_atwork,-6.5089,F,-4.5089
tnc_shared_ASC_auto_sufficient_eatout_othdiscr_social,-5.6638,F,-3.6638
tnc_shared_ASC_auto_sufficient_escort_othmaint_shopping,-4.4365,F,-2.4365
tnc_shared_ASC_auto_sufficient_school,-5.7219,F,-3.7219
tnc_shared_ASC_auto_sufficient_univ,-2.9068,F,-0.9068
tnc_shared_ASC_auto_sufficient_work,-7.3575,F,-5.3575
tnc_shared_ASC_auto_sufficient_atwork,-5.5397,F,-3.5397
joint_walk_ASC_no_auto_all,-1.80493519408352,F,-0.21274701
joint_walk_ASC_auto_deficient_all,-3.55295878408352,F,-1.9607706
joint_walk_ASC_auto_sufficient_all,-4.82740388408352,F,-3.2352157
joint_bike_ASC_no_auto_all,-4.84723263153659,F,-2.8671598
joint_bike_ASC_auto_deficient_all,-8.05648783153659,F,-6.076415
joint_bike_ASC_auto_sufficient_all,-8.35613853153659,F,-6.3760657
joint_sr2_ASC_no_auto_all,0,T,0
joint_sr2_ASC_auto_deficient_all,0,T,0
joint_sr2_ASC_auto_sufficient_all,0,T,0
joint_sr3p_ASC_no_auto_all,1.22928552111412,F,0.5630671
joint_sr3p_ASC_auto_deficient_all,-1.21795077888588,F,-1.8841692
joint_sr3p_ASC_auto_sufficient_all,-1.56860757888588,F,-2.234826
joint_walk_transit_ASC_no_auto_all,-1,F,0.62292415
joint_walk_transit_ASC_auto_deficient_all,-6,F,-5.1634483
joint_walk_transit_ASC_auto_sufficient_all,-19,F,-18.264534
joint_drive_transit_ASC_no_auto_all,0,T,0
joint_drive_transit_ASC_auto_deficient_all,-6.5,F,-5.9632215
joint_drive_transit_ASC_auto_sufficient_all,-9,F,-8.045285
joint_taxi_ASC_no_auto_all,-4.5792,F,-4.5792
joint_taxi_ASC_auto_deficient_all,-9.8157,F,-9.8157
joint_taxi_ASC_auto_sufficient_all,-11.7099,T,-11.7099
joint_tnc_single_ASC_no_auto_all,-4.4917,F,-4.4917
joint_tnc_single_ASC_auto_deficient_all,-9.8961,F,-9.8961
joint_tnc_single_ASC_auto_sufficient_all,-14.0159,T,-14.0159
joint_tnc_shared_ASC_no_auto_all,-4.3002,F,-4.3002
joint_tnc_shared_ASC_auto_deficient_all,-11.1572,F,-11.1572
joint_tnc_shared_ASC_auto_sufficient_all,-13.205,T,-13.205
local_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-2.090703264,F,-0.090703264
local_bus_ASC_school_univ,-2.06508621,F,-0.06508621
local_bus_ASC_work,-1.93310493,F,0.06689507
walk_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-1.30070795169721,F,0.76895475
walk_light_rail_ASC_school_univ,-0.388262401697207,F,1.6814003
walk_light_rail_ASC_work,-1.24410600169721,F,0.8255567
drive_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-0.315599466000796,F,0.76895475
drive_light_rail_ASC_school_univ,0.596846083999204,F,1.6814003
drive_light_rail_ASC_work,-0.258997516000796,F,0.8255567
walk_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F,0.9401238
walk_ferry_ASC_school_univ,2.0202317,F,2.0202317
walk_ferry_ASC_work,0.93322605,F,0.93322605
drive_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F,0.9401238
drive_ferry_ASC_school_univ,2.0202317,F,2.0202317
drive_ferry_ASC_work,0.93322605,F,0.93322605
express_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-1.6594243564691,F,0.9692316
express_bus_ASC_school_univ,-2.3036865764691,F,0.32496938
express_bus_ASC_work,-3.1452033564691,F,-0.5165474
heavy_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-1.30366123882645,F,0.7706121
heavy_rail_ASC_school_univ,-1.11226956882645,F,0.96200377
heavy_rail_ASC_work,-1.42654358882645,F,0.64772975
commuter_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-1.34725483882645,F,0.7270185
commuter_rail_ASC_school_univ,-1.04065273882645,F,1.0336206
commuter_rail_ASC_work,-1.34877033882645,F,0.725503
walk_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,-2.11180319859492,F,0.525
walk_transit_CBD_ASC_school_univ,-1.96480319859492,F,0.672
walk_transit_CBD_ASC_work,-1.83280319859492,F,0.804
walk_transit_CBD_ASC_atwork,-2.07280319859492,F,0.564
drive_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,-0.880390515652055,F,0.525
drive_transit_CBD_ASC_school_univ,-0.733390515652055,F,0.672
drive_transit_CBD_ASC_work,-0.305390515652055,F,1.1
drive_transit_CBD_ASC_atwork,-0.841390515652055,F,0.564
